STYLE 1	lines=28-6838	chars=299808	rules=2450	dashboard=376	shared=115	dashboard_only=false	headings=═══════════════════════════════════════════ RESET & VARIABLES — V1 PREMIUM REDESIGN ═══════════════════════════════════════════ | ── Voxera Design Tokens v3.0 ── | Brand | Light Mode
STYLE 2	lines=31256-32694	chars=41329	rules=159	dashboard=27	shared=2	dashboard_only=false	headings=═══════════════════════════════════════════════════════════════════════════ FOCUS MODE — Single-task focus view ════════════════════════════════════════════════════════════════════ | Dark Mode | v5.1 Launch polish — eindeutiger Row-Active-State + kein Inbox-Dot + Live-Dedupe-kompatible Rails | ═══════════════════════════════════════════ HEUTE ARBEITS-COCKPIT — Button-Aktionen v3.1 Ziel: eine sichtbare Hauptaktion pro Zeile, sekundäre Aktionen im Menü. ═══════════════════
STYLE 3	lines=33080-36437	chars=109983	rules=538	dashboard=206	shared=6	dashboard_only=false	headings=Guard: Detail-Shell darf ohne expliziten Open-State nie sichtbar sein | Avatar im Header (Transition nur für Click/Tap Feedback, nicht für Scroll) | ═══════════════════════════════════════════════════════════ PATCH v2.24 — MOBILE CLEANUP ═══════════════════════════════════════════════════════════ | ── Avatar: Initialen-Kreis → Icon-Box (konsistent mit Task-Icons) ──
STYLE 4	lines=36544-36626	chars=2422	rules=14	dashboard=14	shared=0	dashboard_only=true	headings=Desktop: action column must never squeeze the CTA text into the menu button. | Medium width: keep CTA readable, but allow a slightly smaller button. | Mobile: actions move below the text, so the row content does not get squeezed.
STYLE 5	lines=36630-36693	chars=1950	rules=7	dashboard=7	shared=0	dashboard_only=true	headings=Der Hauptbutton nutzt .vx-ibtn und wurde durch globale Icon-Button-Regeln auf 40px gequetscht. Dieser Patch hebt nur den Hauptbutton in der Heute-Aufmerksamkeit wieder auf Textbutt
STYLE 6	lines=36698-36770	chars=2245	rules=8	dashboard=8	shared=0	dashboard_only=true	headings=Top priority: keeps one clear primary action. | Normal callbacks: softer, smaller, less dominant — as in the mockup. | Open actions remain neutral. | Menu button should stay quiet and not compete with the CTA.
STYLE 7	lines=36775-36900	chars=3748	rules=12	dashboard=11	shared=0	dashboard_only=false	headings=Ziel: Mobile darf keine gequetschten Aktionsbuttons, keinen horizontalen Scroll und keine konkurrierende Button-Hierarchie haben. | Detail- und Expanded-Aktionsleisten: gleiche mobile Grundregel wie Heute-Zeilen. | Floating-Menü auf Mobile nie ausserhalb des Viewports anzeigen.
STYLE 8	lines=36904-37501	chars=20867	rules=108	dashboard=20	shared=0	dashboard_only=false	headings=PATCH: Mobile Anfragen row actions aligned with Heute tab Root cause: previous mobile rule made actions full-width in grid column 2, so the overflow button was rendered below/insid | ═══════════════════════════════════════════════════════════ PATCH v2.91 — Anfragen Detail Header gemäss Mockup - rechter Detail-Header sitzt bündig oben im Split - Meta-Badges wand | ═══════════════════════════════════════════════════════════ PATCH v3.8 — Anfragen Detail Experience Final - Header reduziert auf Kontakt, Status, Hauptaktionen - Header-Badges max. | ═══════════════════════════════════════════════════════════ PATCH v3.9 — Detail Layout Hierarchy Final - Header = Kontakt + Status + eine Hauptaktion - Fokusmodus zeigt Identität w
STYLE 9	lines=37505-37692	chars=7082	rules=40	dashboard=0	shared=0	dashboard_only=false	headings=VOXERA — Detail Experience Rebuild: clean hierarchy, no overloaded header | Focus mode: use readable workspace, not a stretched full-width strip | Mobile: detail is already focus mode. Keep header compact and stack safely.
STYLE 10	lines=37696-38018	chars=11173	rules=56	dashboard=0	shared=0	dashboard_only=false	headings=VOXERA Detail — final composition aligned with Heute/Anfragen pages. This overrides previous iterative header patches without changing data/actions. | Split view: match the request page density and keep spacing controlled. | Focus view: hide list, keep page shell, center a readable detail workspace. | Tablet/narrow split: prevent overlap by turning secondary labels into icon-only.
STYLE 11	lines=38021-38445	chars=19388	rules=93	dashboard=0	shared=0	dashboard_only=false	headings=VOXERA Detail Header Alignment Final Goal: same visual rhythm as Heute/Anfragen; no legacy icon strip; actions right-aligned. | Safety: previous iterations could leave old quick-action buttons in the same container. Hide them. | Split view: if the detail pane becomes narrow, keep actions right-aligned but reduce labels safely. | Focus mode: premium reading width, same header hierarchy.
STYLE 12	lines=38448-38555	chars=5232	rules=35	dashboard=0	shared=0	dashboard_only=false	headings=HARD RESET 2026-05-17: final mockup header, isolated from older vx-cd-vxheader rules
STYLE 13	lines=38559-38915	chars=10938	rules=37	dashboard=0	shared=0	dashboard_only=false	headings=Voxera 2026-05-17 — Detail Header strict sizing Ziel: keine Verzerrung, keine herauslaufenden Badges, stabile Split-/Fokus-/Mobile-Geometrie. Diese Regeln überschreiben frühere Hea | Readability guard for pill variants, even when inline colors exist. | Split-View: schmalere rechte Spalte – feste, aber kleinere Aktionsgeometrie. | Fokus/Vollformat: Content bleibt lesbar, Header hat Abstand zur ersten Karte.
STYLE 14	lines=38919-39198	chars=14215	rules=53	dashboard=0	shared=0	dashboard_only=false	headings=Voxera 2026-05-17 — Detailseite auf Heute-Basis Scope: rechte Detailseite in Anfragen, Split-View + Fokusmodus + Mobile. Ziel: gleiche Designakzente wie Heute/Anfragen: ruhige dunk | Split-/Detail-Canvas rhythmus wie Heute: klare Innenabstände, keine hero-artigen Lücken. | Header: Heute-artige dunkle Karte mit feinem Accent, aber als Detail-Kopfkarte. | Identity: fixe Avatargröße, Text darf kürzen, nie verzerren.
STYLE 15	lines=39212-39699	chars=22564	rules=137	dashboard=0	shared=0	dashboard_only=false	headings=═══════════════════════════════════════════════════════════════ VOXERA DETAIL HEADER — Variante B (Stripe/Apple-Style) Saubere Implementierung, ein einziger Block, kein Patch 18. M | ── 0. ALTE PATCH-LAYER NEUTRALISIEREN ──────────────────── | ── 1. BANNER CONTAINER ─────────────────────────────────── | ── 2. HEADER GRID ────────────────────────────────────────
STYLE 16	lines=39766-39961	chars=7316	rules=37	dashboard=0	shared=0	dashboard_only=false	headings=1) Header: klare Voxera-Geometrie, Aktionen wirklich rechts | 2) Voxera-Buttonschrift und Buttonflächen vereinheitlichen | Done-Aktion bewusst etwas ruhiger als Vollblau, aber Voxera-konform | 3) Meta-Daten: Split bleibt kompakt, Fokus wird lesbarer
STYLE 17	lines=39963-40306	chars=15364	rules=81	dashboard=16	shared=1	dashboard_only=false	headings=═══════════════════════════════════════════════════════════════ VOXERA PREMIUM PATCH — v1.0 18. Mai 2026 — Apple-Level Polish ══════════════════════════════════════════════════════ | ─── 1. KPI STRIP ─────────────────────────────────────────── | ─── 2. NAV ────────────────────────────────────────────────── | ─── 3. SIDEBAR LOGO ─────────────────────────────────────────
STYLE 18	lines=40309-40315	chars=545	rules=5	dashboard=0	shared=0	dashboard_only=false	headings=
STYLE 19	lines=40318-40381	chars=4446	rules=7	dashboard=0	shared=0	dashboard_only=false	headings=Final expander/collapse control Purpose: identical geometry to the other header icon buttons and no dependency on Phosphor glyph availability. | Expand: arrows/corners out | Collapse: arrows/corners in
STYLE 20	lines=40384-40791	chars=14671	rules=51	dashboard=8	shared=0	dashboard_only=false	headings=═══════════════════════════════════════════════════════════════ VOXERA — Mobile Detail Option B refined · FINAL CLEAN Scope: Mobile only. Desktop split/focus header, navigation and | Mobile header shell: one clear Voxera card, no desktop actions. | Top row: back only. The three-dot menu is intentionally removed from header. | Identity: avatar + copy aligned on one premium axis.
STYLE 21	lines=40832-40867	chars=1040	rules=4	dashboard=0	shared=3	dashboard_only=false	headings=FORCE mobile nav visible on mobile - after all patches | content padding so nav doesnt overlap
STYLE 22	lines=40896-41053	chars=7248	rules=21	dashboard=0	shared=0	dashboard_only=false	headings=Paket 2 — Row-Farben bewusst entfernt: keine zusätzlichen Farbzustände für Anfrage-/Heute-Rows. Status-/Lifecycle-Regeln werden separat definiert; bestehende Basisklassen bleiben u | Paket 3 — Fullscreen Detail: kompakter Header + Scroll-Minimierung. Funktioniert für den aktuellen vxdr-Header und ältere vx-cd-* Header-Varianten. | Scrolled/minimized state
STYLE 23	lines=41134-41282	chars=4005	rules=21	dashboard=0	shared=0	dashboard_only=false	headings=═══════════════════════════════════════════ VOXERA MODAL SYSTEM FIX — outer frame + mobile sheets Scope: visual modal shell only. No business logic. ═══════════════════════════════ | Remove the thin white/grey outer frame on modal containers. Keep input borders untouched. | Avoid accidental inner white hairlines on modal headers/shells. | Footer separator should be subtle, not a visible frame.
